Time(s) | Δt(s) | Hz | Note | Cents | Amplitude
1745299775.86 | 0.02 | 352.13 | F4 | 14.35 | 0.35
1745299775.86 | 0.00 | 344.45 | F4 | -23.84 | 0.36
1745299775.87 | 0.01 | 681.20 | E~5 | 6.69 | 0.39
1745299775.90 | 0.04 | 337.50 | E~4 | -9.14 | 0.35
1745299775.92 | 0.01 | 552.26 | C#5 | -6.60 | 0.29
1745299775.93 | 0.01 | 335.22 | E~4 | -20.87 | 0.27
1745299775.96 | 0.04 | 1176.43 | D6 | 2.61 | 0.38
1745299775.98 | 0.01 | 334.78 | E~4 | -23.14 | 0.34
1745299776.00 | 0.02 | 1054.95 | C6 | 13.92 | 0.37
1745299776.00 | 0.00 | 497.02 | B4 | 10.96 | 0.26
1745299776.01 | 0.01 | 1047.13 | C6 | 1.04 | 0.23
1745299776.02 | 0.01 | 456.61 | A~4 | 14.16 | 0.36
1745299776.05 | 0.02 | 1282.91 | E`6 | 2.62 | 0.27
1745299776.05 | 0.00 | 1200.62 | D~6 | -12.15 | 0.24
1745299776.08 | 0.04 | 389.61 | G4 | -10.57 | 0.30
1745299776.12 | 0.04 | 542.03 | C~5 | 11.06 | 0.42
1745299776.13 | 0.01 | 1132.96 | C#~6 | -12.57 | 0.41
1745299776.14 | 0.01 | 348.92 | F4 | -1.54 | 0.53
1745299776.15 | 0.01 | 1165.72 | D6 | -13.22 | 0.39
1745299776.18 | 0.02 | 353.51 | F4 | 21.07 | 0.42
1745299776.18 | 0.00 | 1045.64 | C6 | -1.42 | 0.38
1745299776.19 | 0.01 | 528.95 | C5 | 18.76 | 0.36
1745299776.20 | 0.01 | 1071.69 | C~6 | -8.82 | 0.34
1745299776.21 | 0.01 | 1025.25 | B~5 | 14.48 | 0.41
1745299776.22 | 0.01 | 1112.44 | C#6 | 5.79 | 0.36
1745299776.26 | 0.04 | 505.22 | B~4 | -10.72 | 0.34
1745299776.29 | 0.04 | 333.39 | E4 | 19.64 | 0.38
1745299776.31 | 0.01 | 337.04 | E~4 | -11.51 | 0.38
1745299776.33 | 0.02 | 337.01 | E~4 | -11.66 | 0.24
1745299776.33 | 0.00 | 626.65 | E-5 | 12.20 | 0.32
1745299776.34 | 0.01 | 334.25 | E4 | 24.09 | 0.21
1745299776.35 | 0.01 | 338.16 | E~4 | -5.77 | 0.26
1745299776.38 | 0.02 | 503.75 | B~4 | -15.75 | 0.24
1745299776.38 | 0.00 | 583.82 | D5 | -10.38 | 0.22
1745299776.39 | 0.01 | 305.62 | D~4 | 19.08 | 0.43
1745299776.42 | 0.04 | 622.89 | E-5 | 1.76 | 0.41
1745299776.43 | 0.01 | 300.13 | D~4 | -12.32 | 0.41
1745299776.46 | 0.02 | 1299.06 | E`6 | 24.27 | 0.38
1745299776.46 | 0.00 | 297.87 | D4 | 24.61 | 0.33
1745299776.48 | 0.02 | 296.48 | D4 | 16.50 | 0.36
1745299776.48 | 0.00 | 299.19 | D~4 | -17.71 | 0.36
1745299776.52 | 0.04 | 294.89 | D4 | 7.24 | 0.32
1745299776.54 | 0.02 | 1092.19 | C~6 | 23.97 | 0.42
1745299776.54 | 0.00 | 352.00 | F4 | 13.67 | 0.36
1745299776.56 | 0.02 | 1136.58 | C#~6 | -7.06 | 0.27
1745299776.56 | 0.00 | 352.07 | F4 | 14.02 | 0.31
1745299776.60 | 0.04 | 352.65 | F4 | 16.90 | 0.27
1745299776.64 | 0.04 | 352.86 | F4 | 17.93 | 0.33
1745299776.64 | 0.00 | 342.20 | E~4 | 14.82 | 0.36
1745299776.65 | 0.01 | 342.55 | E~4 | 16.59 | 0.42
1745299776.68 | 0.04 | 1242.07 | D#6 | -3.39 | 0.35
1745299776.70 | 0.01 | 625.82 | E-5 | 9.90 | 0.36
1745299776.78 | 0.01 | 603.06 | D~5 | -4.25 | 0.23
1745299776.79 | 0.01 | 595.50 | D5 | 23.91 | 0.29
1745299776.80 | 0.01 | 296.96 | D4 | 19.31 | 0.26
1745299776.84 | 0.04 | 417.83 | G#4 | 10.50 | 0.29
1745299776.85 | 0.01 | 298.11 | D~4 | -24.00 | 0.29
1745299776.89 | 0.04 | 389.86 | G4 | -9.47 | 0.37
1745299776.90 | 0.01 | 285.35 | C#~4 | 0.28 | 0.38
1745299776.92 | 0.00 | 428.92 | G#~4 | 5.86 | 0.34
1745299776.93 | 0.01 | 441.56 | A4 | 6.14 | 0.26
1745299776.94 | 0.01 | 278.09 | C#4 | 5.63 | 0.25
1745299776.96 | 0.01 | 274.03 | C#4 | -19.81 | 0.24
1745299776.97 | 0.01 | 276.46 | C#4 | -4.52 | 0.27
1745299776.99 | 0.02 | 560.08 | C#5 | 17.75 | 0.27
1745299776.99 | 0.00 | 554.61 | C#5 | 0.78 | 0.23
1745299777.01 | 0.02 | 1128.57 | C#~6 | -19.29 | 0.19
1745299777.01 | 0.00 | 510.32 | B~4 | 6.68 | 0.14
1745299777.05 | 0.01 | 449.46 | A~4 | -13.18 | 0.22
1745299777.12 | 0.01 | 418.24 | G#4 | 12.20 | 0.30
1745299777.14 | 0.02 | 418.89 | G#4 | 14.87 | 0.24
1745299777.14 | 0.00 | 421.40 | G#~4 | -24.79 | 0.43
1745299777.16 | 0.01 | 433.73 | A4 | -24.83 | 0.34
1745299777.17 | 0.01 | 423.95 | G#~4 | -14.33 | 0.35
1745299777.18 | 0.01 | 431.92 | G#~4 | 17.90 | 0.55
1745299777.19 | 0.01 | 434.17 | A4 | -23.10 | 0.43
1745299777.23 | 0.04 | 683.83 | E~5 | 13.35 | 0.35
1745299777.26 | 0.04 | 429.27 | G#~4 | 7.26 | 0.37
1745299777.27 | 0.01 | 437.46 | A4 | -10.01 | 0.24
1745299777.30 | 0.02 | 172.61 | F3 | -20.02 | 0.25
1745299777.30 | 0.00 | 442.90 | A4 | 11.36 | 0.23
1745299777.32 | 0.02 | 442.75 | A4 | 10.77 | 0.19
1745299777.32 | 0.00 | 427.17 | G#~4 | -1.24 | 0.24
1745299777.33 | 0.01 | 425.30 | G#~4 | -8.81 | 0.20
1745299777.36 | 0.02 | 421.76 | G#~4 | -23.30 | 0.14
1745299777.36 | 0.00 | 453.29 | A~4 | 1.52 | 0.15
1745299777.40 | 0.01 | 474.54 | B`4 | -19.16 | 0.33
1745299777.43 | 0.02 | 504.41 | B~4 | -13.49 | 0.47
1745299777.43 | 0.00 | 1518.00 | F#~6 | -6.09 | 0.50
1745299777.44 | 0.01 | 1555.76 | G6 | -13.55 | 0.51
1745299777.45 | 0.01 | 511.24 | B~4 | 9.79 | 0.48
1745299777.47 | 0.02 | 392.48 | G4 | 2.15 | 0.48
1745299777.47 | 0.00 | 798.14 | G~5 | -19.03 | 0.36
1745299777.48 | 0.01 | 498.49 | B4 | 16.07 | 0.42
1745299777.50 | 0.01 | 395.88 | G4 | 17.09 | 0.39
1745299777.51 | 0.01 | 786.30 | G5 | 5.09 | 0.37
1745299777.53 | 0.02 | 501.86 | B~4 | -22.27 | 0.27
1745299777.53 | 0.00 | 502.06 | B~4 | -21.58 | 0.36
1745299777.57 | 0.04 | 396.09 | G4 | 17.99 | 0.31
1745299777.58 | 0.01 | 390.17 | G4 | -8.10 | 0.24
1745299777.60 | 0.02 | 514.40 | B~4 | 20.46 | 0.35
1745299777.60 | 0.00 | 509.80 | B~4 | 4.91 | 0.37
1745299777.64 | 0.04 | 514.50 | B~4 | 20.79 | 0.34
1745299777.64 | 0.00 | 519.81 | C5 | -11.44 | 0.24
1745299777.65 | 0.01 | 376.28 | F#~4 | -20.85 | 0.18
1745299777.66 | 0.01 | 461.52 | A#4 | -17.34 | 0.18
1745299777.70 | 0.04 | 445.54 | A4 | 21.64 | 0.34
1745299777.71 | 0.01 | 443.63 | A4 | 14.21 | 0.21
1745299777.72 | 0.01 | 443.75 | A4 | 14.69 | 0.26
1745299777.73 | 0.01 | 446.88 | A~4 | -23.13 | 0.25
1745299777.74 | 0.01 | 446.77 | A~4 | -23.56 | 0.24
1745299777.77 | 0.02 | 443.53 | A4 | 13.82 | 0.21
1745299777.77 | 0.00 | 439.83 | A4 | -0.66 | 0.32
1745299777.78 | 0.01 | 430.31 | G#~4 | 11.43 | 0.36
1745299777.81 | 0.04 | 424.23 | G#~4 | -13.20 | 0.35
1745299777.83 | 0.01 | 427.57 | G#~4 | 0.39 | 0.38
1745299777.85 | 0.02 | 432.57 | G#~4 | 20.51 | 0.29
1745299777.85 | 0.00 | 417.35 | G#4 | 8.51 | 0.35
1745299777.86 | 0.01 | 425.48 | G#~4 | -8.10 | 0.31
1745299777.88 | 0.02 | 422.37 | G#~4 | -20.79 | 0.25
1745299777.88 | 0.00 | 422.93 | G#~4 | -18.52 | 0.26
1745299777.90 | 0.01 | 433.25 | G#~4 | 23.22 | 0.23
1745299777.91 | 0.01 | 429.54 | G#~4 | 8.36 | 0.31
1745299777.93 | 0.02 | 427.32 | G#~4 | -0.61 | 0.31
1745299777.93 | 0.00 | 438.69 | A4 | -5.15 | 0.21
1745299777.94 | 0.01 | 427.17 | G#~4 | -1.22 | 0.34
1745299777.98 | 0.04 | 452.03 | A~4 | -3.30 | 0.31
1745299778.01 | 0.04 | 501.82 | B~4 | -22.41 | 0.28
1745299778.03 | 0.01 | 459.39 | A~4 | 24.66 | 0.39
1745299778.04 | 0.01 | 468.51 | B-4 | 8.68 | 0.37
1745299778.06 | 0.02 | 472.83 | B-4 | 24.59 | 0.26
1745299778.06 | 0.00 | 469.84 | B-4 | 13.60 | 0.24
1745299778.08 | 0.02 | 470.69 | B-4 | 16.71 | 0.34
1745299778.08 | 0.00 | 471.00 | B-4 | 17.86 | 0.25
1745299778.10 | 0.01 | 472.44 | B-4 | 23.16 | 0.23
1745299778.11 | 0.01 | 470.75 | B-4 | 16.95 | 0.22
1745299778.12 | 0.01 | 473.26 | B`4 | -23.86 | 0.22
1745299778.13 | 0.01 | 470.03 | B-4 | 14.28 | 0.24
1745299778.15 | 0.02 | 466.70 | B-4 | 1.99 | 0.23
1745299778.15 | 0.00 | 959.41 | B`5 | -0.43 | 0.32
1745299778.17 | 0.01 | 481.42 | B`4 | 5.77 | 0.27
1745299778.20 | 0.04 | 460.23 | A#4 | -22.19 | 0.30
1745299778.21 | 0.01 | 1240.26 | D#6 | -5.93 | 0.27
1745299778.25 | 0.04 | 1239.17 | D#6 | -7.44 | 0.26
1745299778.29 | 0.04 | 1154.79 | C#~6 | 20.46 | 0.23
1745299778.32 | 0.04 | 642.08 | E`5 | 4.31 | 0.25
1745299778.33 | 0.01 | 430.06 | G#~4 | 10.45 | 0.23
1745299778.36 | 0.02 | 438.13 | A4 | -7.36 | 0.24
1745299778.36 | 0.00 | 445.04 | A4 | 19.74 | 0.27
1745299778.37 | 0.01 | 440.40 | A4 | 1.57 | 0.28
1745299778.38 | 0.01 | 441.37 | A4 | 5.37 | 0.26
1745299778.39 | 0.01 | 445.23 | A4 | 20.44 | 0.25
1745299778.40 | 0.01 | 453.45 | A~4 | 2.13 | 0.27
1745299778.43 | 0.02 | 452.49 | A~4 | -1.53 | 0.23
1745299778.43 | 0.00 | 466.76 | B-4 | 2.23 | 0.29
1745299778.44 | 0.01 | 514.80 | B~4 | 21.82 | 0.40
1745299778.46 | 0.02 | 350.21 | F4 | 4.88 | 0.32
1745299778.46 | 0.00 | 350.27 | F4 | 5.18 | 0.33
1745299778.48 | 0.02 | 349.98 | F4 | 3.72 | 0.54
1745299778.48 | 0.00 | 351.41 | F4 | 10.76 | 0.55
1745299778.50 | 0.01 | 351.93 | F4 | 13.33 | 0.59
1745299778.51 | 0.01 | 353.03 | F4 | 18.74 | 0.48
1745299778.53 | 0.02 | 350.35 | F4 | 5.57 | 0.35
1745299778.53 | 0.00 | 351.71 | F4 | 12.27 | 0.42
1745299778.54 | 0.01 | 352.35 | F4 | 15.39 | 0.46
1745299778.57 | 0.02 | 349.50 | F4 | 1.34 | 0.40
1745299778.57 | 0.00 | 346.99 | F4 | -11.14 | 0.35
1745299778.59 | 0.02 | 517.76 | C5 | -18.26 | 0.28
1745299778.59 | 0.00 | 510.85 | B~4 | 8.46 | 0.45
1745299778.60 | 0.01 | 1259.89 | E-6 | 21.27 | 0.28
1745299778.61 | 0.01 | 404.12 | G~4 | 2.74 | 0.29
1745299778.63 | 0.02 | 393.14 | G4 | 5.05 | 0.31
1745299778.64 | 0.00 | 397.15 | G4 | 22.62 | 0.26
1745299778.65 | 0.01 | 387.81 | G4 | -18.58 | 0.28
1745299778.67 | 0.02 | 395.04 | G4 | 13.39 | 0.30
1745299778.67 | 0.00 | 1160.58 | D6 | -20.87 | 0.24
1745299778.68 | 0.01 | 398.11 | G~4 | -23.21 | 0.30
1745299778.69 | 0.01 | 385.12 | F#~4 | 19.35 | 0.35
1745299778.70 | 0.01 | 328.98 | E4 | -3.42 | 0.31
1745299778.76 | 0.02 | 333.00 | E4 | 17.64 | 0.41
1745299778.76 | 0.00 | 330.38 | E4 | 3.92 | 0.35
1745299778.78 | 0.01 | 335.22 | E~4 | -20.89 | 0.46
1745299778.79 | 0.01 | 341.88 | E~4 | 13.20 | 0.37
1745299778.81 | 0.02 | 1040.11 | C6 | -10.61 | 0.39
1745299778.81 | 0.00 | 1039.01 | C6 | -12.43 | 0.45
1745299778.82 | 0.01 | 349.40 | F4 | 0.86 | 0.47
1745299778.86 | 0.04 | 351.57 | F4 | 11.56 | 0.56
1745299778.88 | 0.02 | 352.68 | F4 | 17.02 | 0.59
1745299778.88 | 0.00 | 349.70 | F4 | 2.33 | 0.49
1745299778.92 | 0.04 | 351.05 | F4 | 9.03 | 0.43
1745299778.93 | 0.01 | 349.47 | F4 | 1.21 | 0.69
1745299778.95 | 0.02 | 1145.97 | C#~6 | 7.19 | 0.59
1745299778.95 | 0.00 | 350.70 | F4 | 7.30 | 0.50
1745299778.96 | 0.01 | 354.50 | F~4 | -24.04 | 0.66
1745299778.98 | 0.01 | 358.11 | F~4 | -6.53 | 0.42
1745299778.99 | 0.01 | 358.40 | F~4 | -5.11 | 0.40
1745299779.01 | 0.02 | 362.76 | F~4 | 15.83 | 0.42
1745299779.01 | 0.00 | 360.79 | F~4 | 6.37 | 0.52
1745299779.02 | 0.01 | 358.64 | F~4 | -3.96 | 0.58
1745299779.06 | 0.04 | 361.80 | F~4 | 11.22 | 0.39
1745299779.06 | 0.00 | 295.44 | D4 | 10.45 | 0.54
1745299779.08 | 0.02 | 296.53 | D4 | 16.83 | 0.43
1745299779.08 | 0.00 | 297.24 | D4 | 20.97 | 0.42
1745299779.14 | 0.01 | 296.60 | D4 | 17.22 | 0.49
1745299779.16 | 0.02 | 295.88 | D4 | 13.00 | 0.44
1745299779.16 | 0.00 | 295.95 | D4 | 13.41 | 0.63
1745299779.17 | 0.01 | 298.22 | D~4 | -23.34 | 0.61
1745299779.19 | 0.01 | 296.42 | D4 | 16.19 | 0.52
1745299779.21 | 0.02 | 296.82 | D4 | 18.51 | 0.41
1745299779.21 | 0.00 | 296.66 | D4 | 17.57 | 0.33
1745299779.22 | 0.01 | 333.28 | E4 | 19.09 | 0.39
1745299779.24 | 0.02 | 315.95 | E`4 | -23.37 | 0.45
1745299779.26 | 0.01 | 596.05 | D~5 | -24.48 | 0.59
1745299779.29 | 0.04 | 550.65 | C#5 | -11.65 | 0.61
1745299779.30 | 0.01 | 429.86 | G#~4 | 9.62 | 0.39
1745299779.31 | 0.01 | 415.96 | G#4 | 2.73 | 0.34
1745299779.34 | 0.02 | 446.71 | A~4 | -23.79 | 0.40
1745299779.53 | 0.01 | 1071.42 | C~6 | -9.26 | 0.64
1745299779.54 | 0.01 | 1066.17 | C~6 | -17.76 | 0.38
1745299779.57 | 0.04 | 614.03 | D#5 | -23.04 | 0.30
1745299779.64 | 0.01 | 1122.56 | C#6 | 21.46 | 0.29
1745299779.71 | 0.00 | 398.13 | G~4 | -23.12 | 0.13
1745299779.76 | 0.01 | 523.69 | C5 | 1.46 | 0.22
1745299779.77 | 0.01 | 926.38 | A#5 | -11.07 | 0.43
1745299779.81 | 0.04 | 477.15 | B`4 | -9.68 | 0.44
1745299779.82 | 0.01 | 574.53 | C#~5 | 11.85 | 0.34
1745299779.84 | 0.02 | 591.88 | D5 | 13.35 | 0.44
1745299779.84 | 0.00 | 576.75 | C#~5 | 18.54 | 0.30
1745299779.85 | 0.01 | 596.11 | D~5 | -24.32 | 0.36
1745299779.87 | 0.01 | 595.90 | D~5 | -24.93 | 0.19
1745299779.89 | 0.02 | 599.26 | D~5 | -15.18 | 0.36
1745299779.89 | 0.00 | 519.68 | C5 | -11.84 | 0.38
1745299779.91 | 0.02 | 534.54 | C~5 | -13.05 | 0.49
1745299779.91 | 0.00 | 534.10 | C~5 | -14.46 | 0.33
1745299779.92 | 0.01 | 529.83 | C5 | 21.63 | 0.30
1745299779.95 | 0.02 | 532.38 | C~5 | -20.04 | 0.31
1745299779.95 | 0.00 | 534.12 | C~5 | -14.40 | 0.19
1745299779.96 | 0.01 | 532.16 | C~5 | -20.77 | 0.33
1745299779.97 | 0.01 | 530.67 | C5 | 24.37 | 0.40
1745299779.98 | 0.01 | 537.97 | C~5 | -1.97 | 0.59
1745299780.02 | 0.04 | 550.51 | C#5 | -12.08 | 0.57
1745299780.03 | 0.01 | 520.02 | C5 | -10.72 | 0.54
1745299780.05 | 0.02 | 501.25 | B~4 | -24.37 | 0.65
1745299780.05 | 0.00 | 510.09 | B~4 | 5.90 | 0.38
1745299780.08 | 0.02 | 987.12 | B5 | -1.14 | 0.35
1745299780.08 | 0.00 | 478.39 | B`4 | -5.19 | 0.32
1745299780.11 | 0.02 | 959.59 | B`5 | -0.10 | 0.48
1745299780.11 | 0.00 | 460.33 | A#4 | -21.82 | 0.35
1745299780.13 | 0.01 | 552.57 | C#5 | -5.63 | 0.21
1745299780.18 | 0.01 | 443.88 | A4 | 15.20 | 0.28
1745299780.19 | 0.01 | 441.76 | A4 | 6.90 | 0.29
1745299780.22 | 0.02 | 443.15 | A4 | 12.36 | 0.30
1745299780.22 | 0.00 | 438.24 | A4 | -6.95 | 0.33
1745299780.23 | 0.01 | 451.33 | A~4 | -5.97 | 0.33
1745299780.26 | 0.04 | 456.71 | A~4 | 14.54 | 0.42
1745299780.28 | 0.01 | 463.62 | A#4 | -9.49 | 0.38
1745299780.30 | 0.02 | 463.11 | A#4 | -11.38 | 0.26
1745299780.30 | 0.00 | 459.45 | A~4 | 24.90 | 0.37
1745299780.31 | 0.01 | 464.16 | A#4 | -7.47 | 0.33
1745299780.33 | 0.02 | 467.24 | B-4 | 3.99 | 0.37
1745299780.34 | 0.00 | 466.85 | B-4 | 2.55 | 0.40
1745299780.35 | 0.01 | 452.19 | A~4 | -2.70 | 0.30
1745299780.37 | 0.02 | 468.14 | B-4 | 7.32 | 0.28
1745299780.37 | 0.00 | 472.96 | B`4 | -24.94 | 0.36
1745299780.39 | 0.02 | 474.02 | B`4 | -21.05 | 0.30
1745299780.39 | 0.00 | 502.22 | B~4 | -21.03 | 0.36
1745299780.40 | 0.01 | 513.20 | B~4 | 16.41 | 0.51
1745299780.42 | 0.01 | 520.44 | C5 | -9.31 | 0.57
1745299780.44 | 0.02 | 519.29 | C5 | -13.15 | 0.46
1745299780.44 | 0.00 | 520.74 | C5 | -8.34 | 0.25
1745299780.45 | 0.01 | 544.44 | C~5 | 18.72 | 0.24
1745299780.50 | 0.01 | 525.86 | C5 | 8.62 | 0.37
1745299780.51 | 0.01 | 526.66 | C5 | 11.24 | 0.40
1745299780.52 | 0.01 | 537.11 | C~5 | -4.75 | 0.39
1745299780.56 | 0.04 | 544.52 | C~5 | 18.97 | 0.35
1745299780.57 | 0.01 | 529.34 | C5 | 20.04 | 0.50
1745299780.58 | 0.01 | 518.21 | C5 | -16.74 | 0.53
1745299780.59 | 0.01 | 573.58 | C#~5 | 8.98 | 0.29
1745299780.61 | 0.01 | 489.39 | B4 | -15.81 | 0.27
1745299780.63 | 0.01 | 351.42 | F4 | 10.85 | 0.22
1745299780.67 | 0.01 | 300.27 | D~4 | -11.48 | 0.19
1745299780.69 | 0.01 | 556.57 | C#5 | 6.86 | 0.23
1745299780.72 | 0.04 | 560.82 | C#5 | 20.04 | 0.28
1745299780.72 | 0.00 | 564.24 | C#~5 | -19.43 | 0.32
1745299780.74 | 0.02 | 559.23 | C#5 | 15.12 | 0.29
1745299780.74 | 0.00 | 557.13 | C#5 | 8.62 | 0.25
1745299780.76 | 0.01 | 559.58 | C#5 | 16.19 | 0.24
1745299780.78 | 0.02 | 560.44 | C#5 | 18.85 | 0.36
1745299780.78 | 0.00 | 559.36 | C#5 | 15.54 | 0.34
1745299780.79 | 0.01 | 1127.72 | C#~6 | -20.59 | 0.45
1745299780.80 | 0.01 | 1096.98 | C#6 | -18.44 | 0.45
1745299780.83 | 0.02 | 1249.30 | E-6 | 6.66 | 0.47
1745299780.83 | 0.00 | 567.09 | C#~5 | -10.71 | 0.34
1745299780.84 | 0.01 | 587.92 | D5 | 1.74 | 0.31
1745299780.85 | 0.01 | 597.04 | D~5 | -21.62 | 0.23
1745299780.87 | 0.02 | 587.20 | D5 | -0.37 | 0.33
1745299780.87 | 0.00 | 595.74 | D5 | 24.61 | 0.25
1745299780.88 | 0.01 | 592.02 | D5 | 13.76 | 0.33
1745299780.90 | 0.01 | 588.42 | D5 | 3.22 | 0.31
1745299780.91 | 0.01 | 600.33 | D~5 | -12.09 | 0.31
1745299780.93 | 0.02 | 608.05 | D~5 | 10.03 | 0.21
1745299780.93 | 0.00 | 231.52 | A#3 | -11.64 | 0.19
1745299780.94 | 0.01 | 475.72 | B`4 | -14.86 | 0.33
1745299780.97 | 0.02 | 468.89 | B-4 | 10.10 | 0.29
1745299780.97 | 0.00 | 469.99 | B-4 | 14.15 | 0.34
1745299780.98 | 0.01 | 468.92 | B-4 | 10.22 | 0.35
1745299780.99 | 0.01 | 470.32 | B-4 | 15.38 | 0.31
1745299781.00 | 0.01 | 469.69 | B-4 | 13.04 | 0.20
1745299781.01 | 0.01 | 473.07 | B`4 | -24.54 | 0.30
1745299781.02 | 0.01 | 998.60 | B5 | 18.88 | 0.21
1745299781.05 | 0.02 | 474.17 | B`4 | -20.52 | 0.24
1745299781.05 | 0.00 | 473.69 | B`4 | -22.28 | 0.25
1745299781.06 | 0.01 | 472.78 | B-4 | 24.41 | 0.36
1745299781.07 | 0.01 | 474.03 | B`4 | -21.02 | 0.32
1745299781.11 | 0.04 | 440.21 | A4 | 0.83 | 0.30
1745299781.13 | 0.02 | 432.93 | G#~4 | 21.94 | 0.43
1745299781.13 | 0.00 | 459.18 | A~4 | 23.86 | 0.36
1745299781.14 | 0.01 | 452.65 | A~4 | -0.93 | 0.29
1745299781.15 | 0.01 | 457.81 | A~4 | 18.69 | 0.23
1745299781.18 | 0.02 | 459.88 | A#4 | -23.49 | 0.38
1745299781.18 | 0.00 | 458.09 | A~4 | 19.76 | 0.27
1745299781.21 | 0.04 | 445.70 | A4 | 22.29 | 0.33
1745299781.25 | 0.04 | 446.26 | A4 | 24.47 | 0.27
1745299781.26 | 0.01 | 447.93 | A~4 | -19.07 | 0.27
1745299781.28 | 0.02 | 442.91 | A4 | 11.42 | 0.22
1745299781.28 | 0.00 | 446.81 | A~4 | -23.42 | 0.20
1745299781.31 | 0.02 | 436.54 | A4 | -13.65 | 0.23
1745299781.31 | 0.00 | 448.50 | A~4 | -16.86 | 0.20
1745299781.32 | 0.01 | 463.46 | A#4 | -10.09 | 0.28
1745299781.33 | 0.01 | 458.06 | A~4 | 19.63 | 0.28
1745299781.35 | 0.02 | 448.77 | A~4 | -15.82 | 0.22
1745299781.35 | 0.00 | 453.98 | A~4 | 4.17 | 0.31
1745299781.38 | 0.02 | 498.60 | B4 | 16.47 | 0.31
1745299781.38 | 0.00 | 545.22 | C~5 | 21.21 | 0.44
1745299781.39 | 0.01 | 443.02 | A4 | 11.83 | 0.43
1745299781.40 | 0.01 | 411.09 | G#4 | -17.67 | 0.39
1745299781.42 | 0.02 | 440.31 | A4 | 1.22 | 0.34
1745299781.42 | 0.00 | 547.62 | C#5 | -21.18 | 0.36
1745299781.43 | 0.01 | 556.16 | C#5 | 5.60 | 0.30
1745299781.46 | 0.02 | 437.16 | A4 | -11.23 | 0.21
1745299781.46 | 0.00 | 433.68 | G#~4 | 24.97 | 0.20
1745299781.47 | 0.01 | 438.04 | A4 | -7.72 | 0.26
1745299781.49 | 0.02 | 513.59 | B~4 | 17.74 | 0.23
1745299781.49 | 0.00 | 441.45 | A4 | 5.70 | 0.16
1745299781.50 | 0.01 | 446.84 | A~4 | -23.28 | 0.30
1745299781.53 | 0.02 | 438.72 | A4 | -5.03 | 0.24
1745299781.54 | 0.01 | 440.33 | A4 | 1.31 | 0.31
1745299781.55 | 0.01 | 441.67 | A4 | 6.56 | 0.20
1745299781.57 | 0.02 | 448.20 | A~4 | -18.02 | 0.27
1745299781.57 | 0.00 | 439.37 | A4 | -2.46 | 0.17
1745299781.58 | 0.01 | 453.28 | A~4 | 1.47 | 0.15
1745299781.60 | 0.01 | 444.58 | A4 | 17.93 | 0.19
1745299781.63 | 0.04 | 497.76 | B4 | 13.55 | 0.26
1745299781.64 | 0.01 | 535.34 | C~5 | -10.45 | 0.34
1745299781.66 | 0.01 | 535.33 | C~5 | -10.49 | 0.33
1745299781.69 | 0.04 | 567.64 | C#~5 | -9.03 | 0.31
1745299781.72 | 0.02 | 499.56 | B4 | 19.78 | 0.24
1745299781.72 | 0.00 | 445.37 | A4 | 21.00 | 0.25
1745299781.73 | 0.01 | 437.44 | A4 | -10.10 | 0.19
1745299781.75 | 0.02 | 457.21 | A~4 | 16.43 | 0.22
1745299781.75 | 0.00 | 459.21 | A~4 | 23.96 | 0.16
1745299781.77 | 0.02 | 446.53 | A~4 | -24.51 | 0.19
1745299781.77 | 0.00 | 445.26 | A4 | 20.57 | 0.21
1745299781.79 | 0.01 | 568.26 | C#~5 | -7.15 | 0.17
1745299781.81 | 0.02 | 354.07 | F4 | 23.85 | 0.14
1745299781.81 | 0.00 | 443.61 | A4 | 14.15 | 0.27
1745299781.83 | 0.02 | 445.32 | A4 | 20.79 | 0.19
1745299781.83 | 0.00 | 445.01 | A4 | 19.61 | 0.18
1745299781.84 | 0.01 | 444.35 | A4 | 17.04 | 0.22
1745299781.86 | 0.01 | 338.11 | E~4 | -6.02 | 0.31
1745299781.88 | 0.02 | 665.95 | E5 | 17.48 | 0.33
1745299781.88 | 0.00 | 469.62 | B-4 | 12.78 | 0.30
1745299781.91 | 0.04 | 265.56 | C~4 | -24.18 | 0.40
1745299781.93 | 0.01 | 347.30 | F4 | -9.60 | 0.46
1745299781.96 | 0.04 | 713.50 | F~5 | -13.12 | 0.28
1745299781.99 | 0.02 | 705.84 | F5 | 18.20 | 0.32
1745299781.99 | 0.00 | 704.14 | F5 | 14.04 | 0.22
1745299782.00 | 0.01 | 705.71 | F5 | 17.88 | 0.36
1745299782.03 | 0.04 | 717.76 | F~5 | -2.80 | 0.28
1745299782.04 | 0.01 | 706.65 | F5 | 20.18 | 0.27
1745299782.07 | 0.02 | 700.59 | F5 | 5.28 | 0.22
1745299782.07 | 0.00 | 708.13 | F5 | 23.82 | 0.25
1745299782.08 | 0.01 | 707.32 | F5 | 21.82 | 0.22
1745299782.09 | 0.01 | 703.27 | F5 | 11.88 | 0.22
1745299782.11 | 0.02 | 713.51 | F~5 | -13.08 | 0.21
1745299782.11 | 0.00 | 469.77 | B-4 | 13.34 | 0.22
1745299782.13 | 0.01 | 974.49 | B5 | -23.43 | 0.46
1745299782.16 | 0.04 | 692.34 | F5 | -15.24 | 0.43
1745299782.17 | 0.01 | 656.97 | E5 | -6.02 | 0.68
1745299782.20 | 0.02 | 661.12 | E5 | 4.89 | 0.62
