Time(s) | Δt(s) | Hz | Note | Cents | Amplitude
1745299771.20 | 0.01 | 1180.05 | D6 | 7.93 | 0.38
1745299771.24 | 0.02 | 426.51 | G#~4 | -3.91 | 0.30
1745299771.25 | 0.01 | 1121.13 | C#6 | 19.25 | 0.28
1745299771.26 | 0.01 | 515.49 | B~4 | 24.11 | 0.22
1745299771.28 | 0.02 | 1110.29 | C#6 | 2.43 | 0.21
1745299771.29 | 0.01 | 341.14 | E~4 | 9.42 | 0.18
1745299771.39 | 0.01 | 1084.13 | C~6 | 11.15 | 0.62
1745299771.41 | 0.02 | 1100.64 | C#6 | -12.68 | 0.50
1745299771.41 | 0.00 | 981.25 | B5 | -11.46 | 0.45
1745299771.42 | 0.01 | 988.38 | B5 | 1.07 | 0.81
1745299771.45 | 0.00 | 594.85 | D5 | 22.03 | 0.74
1745299771.49 | 0.01 | 595.47 | D5 | 23.82 | 0.41
1745299771.53 | 0.04 | 591.90 | D5 | 13.41 | 0.33
1745299771.55 | 0.02 | 542.72 | C~5 | 13.24 | 0.27
1745299771.55 | 0.00 | 528.88 | C5 | 18.54 | 0.28
1745299771.56 | 0.01 | 533.82 | C~5 | -15.39 | 0.35
1745299771.62 | 0.02 | 534.91 | C~5 | -11.83 | 0.49
1745299771.64 | 0.01 | 533.67 | C~5 | -15.87 | 0.69
1745299771.65 | 0.01 | 531.86 | C~5 | -21.75 | 0.39
1745299771.67 | 0.02 | 512.07 | B~4 | 12.59 | 0.44
1745299771.67 | 0.00 | 560.56 | C#5 | 19.23 | 0.51
1745299771.69 | 0.02 | 1337.85 | E~6 | -24.79 | 0.52
1745299771.69 | 0.00 | 468.10 | B-4 | 7.17 | 0.54
1745299771.72 | 0.02 | 501.98 | B~4 | -21.86 | 0.38
1745299771.72 | 0.00 | 476.52 | B`4 | -11.97 | 0.37
1745299771.73 | 0.01 | 468.78 | B-4 | 9.70 | 0.33
1745299771.75 | 0.02 | 486.71 | B`4 | 24.66 | 0.33
1745299771.75 | 0.00 | 476.16 | B`4 | -13.28 | 0.44
1745299771.76 | 0.01 | 475.91 | B`4 | -14.18 | 0.22
1745299771.79 | 0.02 | 478.40 | B`4 | -5.15 | 0.20
1745299771.79 | 0.00 | 474.81 | B`4 | -18.20 | 0.25
1745299771.81 | 0.01 | 467.20 | B-4 | 3.83 | 0.28
1745299771.86 | 0.01 | 450.15 | A~4 | -10.53 | 0.35
1745299771.87 | 0.01 | 450.17 | A~4 | -10.44 | 0.34
1745299771.90 | 0.04 | 635.09 | E`5 | -14.65 | 0.47
1745299771.92 | 0.01 | 466.17 | B-4 | 0.04 | 0.49
1745299771.93 | 0.01 | 467.75 | B-4 | 5.89 | 0.38
1745299771.96 | 0.04 | 467.21 | B-4 | 3.87 | 0.41
1745299771.99 | 0.02 | 470.33 | B-4 | 15.39 | 0.44
1745299771.99 | 0.00 | 483.69 | B`4 | 13.89 | 0.56
1745299772.02 | 0.04 | 969.99 | B`5 | 18.55 | 0.53
1745299772.05 | 0.02 | 956.57 | B`5 | -5.55 | 0.44
1745299772.05 | 0.00 | 480.32 | B`4 | 1.79 | 0.24
1745299772.06 | 0.01 | 526.80 | C5 | 11.71 | 0.42
1745299772.07 | 0.01 | 520.18 | C5 | -10.20 | 0.42
1745299772.10 | 0.04 | 534.21 | C~5 | -14.10 | 0.26
1745299772.12 | 0.01 | 520.79 | C5 | -8.18 | 0.28
1745299772.14 | 0.02 | 522.94 | C5 | -1.03 | 0.48
1745299772.14 | 0.00 | 521.76 | C5 | -4.94 | 0.38
1745299772.15 | 0.01 | 517.74 | C5 | -18.33 | 0.48
1745299772.20 | 0.01 | 552.93 | C#5 | -4.49 | 0.38
1745299772.21 | 0.01 | 574.96 | C#~5 | 13.15 | 0.32
1745299772.22 | 0.01 | 559.78 | C#5 | 16.84 | 0.40
1745299772.23 | 0.01 | 600.85 | D~5 | -10.59 | 0.60
1745299772.27 | 0.04 | 588.51 | D5 | 3.48 | 0.43
1745299772.28 | 0.01 | 365.71 | F#4 | -20.15 | 0.33
1745299772.31 | 0.02 | 1166.30 | D6 | -12.37 | 0.44
1745299772.31 | 0.00 | 589.21 | D5 | 5.52 | 0.33
1745299772.32 | 0.01 | 579.65 | D5 | -22.78 | 0.30
1745299772.33 | 0.01 | 568.02 | C#~5 | -7.88 | 0.29
1745299772.36 | 0.04 | 555.00 | C#5 | 1.97 | 0.26
1745299772.36 | 0.00 | 1115.79 | C#6 | 10.99 | 0.26
1745299772.38 | 0.01 | 555.29 | C#5 | 2.89 | 0.23
1745299772.40 | 0.02 | 555.12 | C#5 | 2.36 | 0.27
1745299772.41 | 0.01 | 560.82 | C#5 | 20.05 | 0.27
1745299772.45 | 0.04 | 555.35 | C#5 | 3.07 | 0.32
1745299772.45 | 0.00 | 584.18 | D5 | -9.31 | 0.36
1745299772.46 | 0.01 | 589.74 | D5 | 7.10 | 0.33
1745299772.48 | 0.02 | 590.83 | D5 | 10.28 | 0.38
1745299772.48 | 0.00 | 595.37 | D5 | 23.54 | 0.38
1745299772.49 | 0.01 | 597.30 | D~5 | -20.87 | 0.28
1745299772.53 | 0.04 | 594.76 | D5 | 21.77 | 0.41
1745299772.55 | 0.02 | 592.15 | D5 | 14.15 | 0.36
1745299772.55 | 0.00 | 586.64 | D5 | -2.05 | 0.44
1745299772.56 | 0.01 | 481.58 | B`4 | 6.31 | 0.40
1745299772.58 | 0.01 | 466.47 | B-4 | 1.12 | 0.50
1745299772.59 | 0.01 | 471.15 | B-4 | 18.40 | 0.53
1745299772.60 | 0.01 | 471.68 | B-4 | 20.36 | 0.60
1745299772.62 | 0.02 | 469.61 | B-4 | 12.77 | 0.49
1745299772.62 | 0.00 | 469.14 | B-4 | 11.02 | 0.42
1745299772.66 | 0.04 | 470.89 | B-4 | 17.46 | 0.45
1745299772.67 | 0.01 | 473.31 | B`4 | -23.66 | 0.31
1745299772.68 | 0.01 | 474.89 | B`4 | -17.90 | 0.34
1745299772.69 | 0.01 | 971.31 | B`5 | 20.91 | 0.49
1745299772.72 | 0.02 | 1068.08 | C~6 | -14.66 | 0.39
1745299772.72 | 0.00 | 478.79 | B`4 | -3.73 | 0.46
1745299772.74 | 0.02 | 462.55 | A#4 | -13.49 | 0.48
1745299772.74 | 0.00 | 454.45 | A~4 | 5.93 | 0.51
1745299772.75 | 0.01 | 454.15 | A~4 | 4.79 | 0.47
1745299772.76 | 0.01 | 437.45 | A4 | -10.08 | 0.55
1745299772.80 | 0.04 | 445.62 | A4 | 21.98 | 0.46
1745299772.82 | 0.02 | 448.82 | A~4 | -15.64 | 0.35
1745299772.82 | 0.00 | 449.86 | A~4 | -11.64 | 0.35
1745299772.83 | 0.01 | 446.10 | A4 | 23.85 | 0.35
1745299772.87 | 0.04 | 462.71 | A#4 | -12.88 | 0.32
1745299772.88 | 0.01 | 446.14 | A4 | 24.00 | 0.28
1745299772.90 | 0.02 | 446.13 | A4 | 23.95 | 0.28
1745299772.91 | 0.00 | 443.83 | A4 | 15.02 | 0.36
1745299772.92 | 0.01 | 448.36 | A~4 | -17.41 | 0.39
1745299772.94 | 0.02 | 453.94 | A~4 | 4.00 | 0.42
1745299772.94 | 0.00 | 451.66 | A~4 | -4.73 | 0.35
1745299772.95 | 0.01 | 451.64 | A~4 | -4.79 | 0.40
1745299772.96 | 0.01 | 458.51 | A~4 | 21.35 | 0.44
1745299773.00 | 0.04 | 534.14 | C~5 | -14.33 | 0.55
1745299773.04 | 0.04 | 562.34 | C#5 | 24.74 | 0.44
1745299773.06 | 0.02 | 641.33 | E`5 | 2.29 | 0.34
1745299773.07 | 0.01 | 502.51 | B~4 | -20.01 | 0.32
1745299773.09 | 0.02 | 345.37 | F4 | -19.25 | 0.40
1745299773.09 | 0.00 | 337.10 | E~4 | -11.19 | 0.25
1745299773.11 | 0.01 | 443.09 | A4 | 12.10 | 0.30
1745299773.13 | 0.02 | 447.54 | A~4 | -20.59 | 0.24
1745299773.13 | 0.00 | 443.66 | A4 | 14.32 | 0.28
1745299773.16 | 0.04 | 619.54 | D#5 | -7.58 | 0.24
1745299773.18 | 0.01 | 452.67 | A~4 | -0.86 | 0.27
1745299773.20 | 0.00 | 472.81 | B-4 | 24.52 | 0.17
1745299773.22 | 0.01 | 477.95 | B`4 | -6.76 | 0.27
1745299773.23 | 0.01 | 1027.30 | B~5 | 17.95 | 0.37
1745299773.26 | 0.02 | 988.08 | B5 | 0.55 | 0.47
1745299773.26 | 0.00 | 208.71 | G#3 | 8.76 | 0.57
1745299773.27 | 0.01 | 310.70 | D#4 | -2.38 | 0.43
1745299773.29 | 0.02 | 513.85 | B~4 | 18.61 | 0.37
1745299773.29 | 0.00 | 543.36 | C~5 | 15.30 | 0.44
1745299773.31 | 0.02 | 347.55 | F4 | -8.34 | 0.54
1745299773.31 | 0.00 | 522.27 | C5 | -3.24 | 0.35
1745299773.33 | 0.01 | 532.85 | C~5 | -18.54 | 0.29
1745299773.34 | 0.01 | 500.86 | B4 | 24.28 | 0.37
1745299773.39 | 0.01 | 336.29 | E~4 | -15.34 | 0.17
1745299773.41 | 0.02 | 356.05 | F~4 | -16.51 | 0.20
1745299773.47 | 0.00 | 479.06 | B`4 | -2.75 | 0.23
1745299773.49 | 0.02 | 453.27 | A~4 | 1.42 | 0.31
1745299773.49 | 0.00 | 471.62 | B-4 | 20.15 | 0.37
1745299773.50 | 0.01 | 466.89 | B-4 | 2.71 | 0.40
1745299773.53 | 0.02 | 464.16 | A#4 | -7.46 | 0.49
1745299773.53 | 0.00 | 466.10 | A#4 | -0.23 | 0.48
1745299773.54 | 0.01 | 470.60 | B-4 | 16.39 | 0.31
1745299773.55 | 0.01 | 469.24 | B-4 | 11.41 | 0.35
1745299773.56 | 0.01 | 463.21 | A#4 | -11.00 | 0.29
1745299773.60 | 0.04 | 468.54 | B-4 | 8.80 | 0.29
1745299773.62 | 0.02 | 930.34 | A#5 | -3.70 | 0.28
1745299773.62 | 0.00 | 470.95 | B-4 | 17.70 | 0.19
1745299773.63 | 0.01 | 463.71 | A#4 | -9.15 | 0.31
1745299773.66 | 0.02 | 462.40 | A#4 | -14.04 | 0.28
1745299773.66 | 0.00 | 460.04 | A#4 | -22.89 | 0.47
1745299773.67 | 0.01 | 462.37 | A#4 | -14.16 | 0.22
1745299773.69 | 0.02 | 461.06 | A#4 | -19.05 | 0.33
1745299773.69 | 0.00 | 454.56 | A~4 | 6.35 | 0.48
1745299773.70 | 0.01 | 455.02 | A~4 | 8.13 | 0.57
1745299773.71 | 0.01 | 458.67 | A~4 | 21.93 | 0.55
1745299773.73 | 0.01 | 449.56 | A~4 | -12.80 | 0.65
1745299773.75 | 0.02 | 452.31 | A~4 | -2.23 | 0.50
1745299773.75 | 0.00 | 490.61 | B4 | -11.52 | 0.55
1745299773.77 | 0.02 | 488.82 | B4 | -17.83 | 0.44
1745299773.77 | 0.00 | 388.39 | G4 | -15.98 | 0.43
1745299773.78 | 0.01 | 396.01 | G4 | 17.64 | 0.42
1745299773.82 | 0.04 | 396.17 | G4 | 18.33 | 0.40
1745299773.83 | 0.01 | 1189.56 | D6 | 21.83 | 0.53
1745299773.84 | 0.01 | 1196.19 | D~6 | -18.55 | 0.43
1745299773.87 | 0.02 | 395.61 | G4 | 15.88 | 0.57
1745299773.87 | 0.00 | 1176.00 | D6 | 1.98 | 0.47
1745299773.88 | 0.01 | 1208.94 | D~6 | -0.20 | 0.49
1745299773.88 | 0.00 | 403.05 | G~4 | -1.84 | 0.47
1745299773.90 | 0.02 | 404.92 | G~4 | 6.17 | 0.32
1745299773.91 | 0.01 | 426.24 | G#~4 | -5.02 | 0.36
1745299773.92 | 0.01 | 441.66 | A4 | 6.53 | 0.24
1745299773.92 | 0.00 | 431.88 | G#~4 | 17.75 | 0.24
1745299773.95 | 0.02 | 434.02 | A4 | -23.68 | 0.33
1745299773.96 | 0.01 | 440.45 | A4 | 1.76 | 0.26
1745299773.96 | 0.00 | 452.05 | A~4 | -3.21 | 0.24
1745299773.98 | 0.02 | 447.49 | A~4 | -20.76 | 0.25
1745299773.99 | 0.01 | 453.89 | A~4 | 3.81 | 0.22
1745299773.99 | 0.00 | 497.01 | B4 | 10.93 | 0.35
1745299774.02 | 0.02 | 503.74 | B~4 | -15.80 | 0.31
1745299774.03 | 0.01 | 488.90 | B4 | -17.54 | 0.38
1745299774.06 | 0.04 | 407.81 | G~4 | 18.49 | 0.39
1745299774.06 | 0.00 | 1159.12 | D6 | -23.06 | 0.43
1745299774.09 | 0.02 | 1148.75 | C#~6 | 11.38 | 0.36
1745299774.09 | 0.00 | 1214.48 | D~6 | 7.72 | 0.38
1745299774.10 | 0.01 | 396.19 | G4 | 18.43 | 0.37
1745299774.13 | 0.04 | 1145.44 | C#~6 | 6.39 | 0.44
1745299774.15 | 0.01 | 377.93 | F#~4 | -13.28 | 0.32
1745299774.16 | 0.01 | 374.06 | F#4 | 18.92 | 0.46
1745299774.17 | 0.01 | 372.75 | F#4 | 12.83 | 0.44
1745299774.18 | 0.01 | 369.97 | F#4 | -0.10 | 0.44
1745299774.19 | 0.01 | 374.46 | F#4 | 20.77 | 0.44
1745299774.23 | 0.04 | 374.79 | F#4 | 22.30 | 0.29
1745299774.24 | 0.01 | 383.41 | F#~4 | 11.66 | 0.29
1745299774.26 | 0.02 | 387.97 | G4 | -17.88 | 0.41
1745299774.26 | 0.00 | 394.85 | G4 | 12.57 | 0.44
1745299774.28 | 0.01 | 461.73 | A#4 | -16.54 | 0.37
1745299774.30 | 0.02 | 419.29 | G#4 | 16.52 | 0.37
1745299774.30 | 0.00 | 1455.90 | F~6 | 21.60 | 0.44
1745299774.31 | 0.01 | 419.27 | G#4 | 16.46 | 0.46
1745299774.33 | 0.02 | 479.36 | B`4 | -1.69 | 0.40
1745299774.33 | 0.00 | 388.27 | G4 | -16.55 | 0.38
1745299774.35 | 0.01 | 1175.96 | D6 | 1.92 | 0.32
1745299774.36 | 0.01 | 392.20 | G4 | 0.92 | 0.31
1745299774.38 | 0.02 | 388.30 | G4 | -16.38 | 0.32
1745299774.38 | 0.00 | 480.31 | B`4 | 1.75 | 0.32
1745299774.42 | 0.04 | 468.69 | B-4 | 9.37 | 0.47
1745299774.44 | 0.02 | 474.14 | B`4 | -20.61 | 0.37
1745299774.44 | 0.00 | 469.00 | B-4 | 10.50 | 0.29
1745299774.45 | 0.01 | 471.71 | B-4 | 20.48 | 0.26
1745299774.46 | 0.01 | 470.44 | B-4 | 15.81 | 0.40
1745299774.49 | 0.02 | 470.75 | B-4 | 16.96 | 0.24
1745299774.49 | 0.00 | 476.60 | B`4 | -11.67 | 0.29
1745299774.52 | 0.04 | 460.77 | A#4 | -20.16 | 0.35
1745299774.54 | 0.02 | 440.58 | A4 | 2.27 | 0.36
1745299774.54 | 0.00 | 440.08 | A4 | 0.31 | 0.29
1745299774.56 | 0.01 | 444.86 | A4 | 19.00 | 0.44
1745299774.57 | 0.01 | 446.76 | A~4 | -23.60 | 0.32
1745299774.59 | 0.02 | 448.42 | A~4 | -17.18 | 0.35
1745299774.59 | 0.00 | 451.08 | A~4 | -6.95 | 0.57
1745299774.61 | 0.02 | 452.82 | A~4 | -0.30 | 0.37
1745299774.61 | 0.00 | 448.07 | A~4 | -18.55 | 0.51
1745299774.63 | 0.01 | 442.28 | A4 | 8.94 | 0.42
1745299774.64 | 0.01 | 1482.79 | F#6 | 3.29 | 0.45
1745299774.66 | 0.01 | 494.87 | B4 | 3.46 | 0.45
1745299774.67 | 0.01 | 408.08 | G~4 | 19.61 | 0.50
1745299774.68 | 0.01 | 514.49 | B~4 | 20.75 | 0.30
